"","x"
"1",28
"2",15
"3",8
"4",7
"5",7
"6",6
"7",6
"8",5
"9",5
"10",4
"11",4
"12",3
"13",3
"14",583
"15",520
"16",349
"17",346
"18",301
"19",298
"20",275
"21",273
"22",265
"23",264
"24",261
"25",155
"26",43
"27",20
"28",20
"29",20
"30",13
"31",12
"32",11
"33",9
"34",9
"35",8
"36",7
"37",7
"38",7
"39",7
"40",6
"41",6
"42",5
"43",4
"44",4
"45",4
"46",4
"47",4
"48",4
"49",4
"50",3
"51",3
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",20000
"85",6000
"86",3000
"87",1950
"88",1500
"89",1300
"90",1200
"91",1121
"92",1100
"93",1082
"94",1007
"95",1000
"96",843
"97",800
"98",738
"99",700
"100",621
"101",600
"102",590
"103",581
"104",575
"105",565
"106",542
"107",500
"108",372
"109",339
"110",322
"111",300
"112",296
"113",246
"114",234
"115",233
"116",230
"117",220
"118",219
"119",217
"120",207
"121",206
"122",200
"123",200
"124",200
"125",200
"126",200
"127",200
"128",189
"129",181
"130",180
"131",171
"132",166
"133",163
"134",160
"135",159
"136",154
"137",153
"138",151
"139",151
"140",150
"141",150
"142",150
"143",147
"144",146
"145",140
"146",139
"147",134
"148",130
"149",126
"150",125
"151",121
"152",118
"153",117
"154",117
"155",116
"156",115
"157",112
"158",110
"159",107
"160",106
"161",106
"162",105
"163",103
"164",103
"165",102
"166",102
"167",100
"168",100
"169",100
"170",100
"171",100
"172",100
"173",100
"174",100
"175",100
"176",98
"177",94
"178",94
"179",92
"180",90
"181",90
"182",79
"183",78
"184",78
"185",75
"186",74
"187",73
"188",73
"189",70
"190",70
"191",70
"192",68
"193",63
"194",63
"195",63
"196",61
"197",60
"198",60
"199",60
"200",60
"201",60
"202",58
"203",57
"204",57
"205",51
"206",50
"207",50
"208",50
"209",50
"210",49
"211",49
"212",48
"213",48
"214",47
"215",47
"216",47
"217",45
"218",45
"219",43
"220",43
"221",42
"222",42
"223",41
"224",41
"225",41
"226",41
"227",40
"228",40
"229",39
"230",37
"231",37
"232",36
"233",36
"234",35
"235",35
"236",35
"237",33
"238",33
"239",33
"240",32
"241",32
"242",32
"243",30
"244",29
"245",29
"246",29
"247",29
"248",29
"249",28
"250",28
"251",28
"252",27
"253",27
"254",26
"255",26
"256",25
"257",25
"258",25
