"","x"
"1",4
"2",2
"3",2000
"4",4700
"5",600
"6",20000
"7",1000
"8",3000
"9",20000
"10",70000
"11",46
"12",450
"13",90
"14",45
"15",12
"16",216
"17",300
"18",30000
"19",1500
"20",52
"21",116
"22",171
"23",143000
"24",60
"25",5000
"26",13
"27",3020
"28",40900
"29",50
"30",25
"31",64
"32",17
"33",28
"34",1404
"35",36
"36",258
"37",2000
"38",2890
"39",10000
"40",400
"41",75
"42",491
"43",275
"44",2990
"45",115
"46",10700
"47",5
"48",3279
"49",34
"50",160
"51",30000
"52",60
"53",32700
"54",9
"55",4000
"56",90
"57",38
"58",30
"59",16
"60",3000
"61",12
"62",336
"63",4000
"64",3959
"65",30
"66",1223
"67",4000
"68",165
"69",100
"70",1330
"71",800
"72",8
"73",6000
"74",450
"75",4800
"76",50
"77",12
"78",265
"79",12
"80",476
"81",8
"82",3
"83",6
"84",23
"85",18
"86",728
"87",67
"88",52
"89",30
"90",5
"91",1
"92",28
"93",10000
"94",5700
"95",3
"96",300
"97",125
"98",26
"99",40
"100",23
"101",71
"102",280
"103",7
"104",6
"105",157
"106",2396
"107",6
"108",89
"109",236
"110",3
"111",12000
"112",29
"113",13
"114",53
"115",2
"116",10
"117",3000
"118",66000
"119",1086
"120",65
"121",85
"122",5374
"123",5
"124",6000
"125",25
"126",20000
"127",78
"128",10000
"129",85
"130",2385
"131",2
"132",23000
"133",989
"134",3840
"135",1500
"136",15000
"137",136
"138",5000
"139",2735
"140",305
"141",3
"142",197
"143",2
"144",1155
"145",177
"146",2
"147",9500
"148",8
"149",25000
"150",63
"151",13
"152",8
"153",40000
"154",1621
"155",3
"156",116
"157",545
"158",230
"159",9748
"160",72
"161",207
"162",5
"163",10
"164",78
"165",2
"166",6434
"167",1995
"168",3
"169",3
"170",90
"171",49
"172",53
"173",108
"174",26
"175",14
"176",11
"177",8
"178",1
"179",146
"180",2183
"181",5
"182",1185
"183",17127
"184",2415
"185",894
"186",7
"187",103
"188",7
"189",2
"190",26
