"","x"
"1",37947332
"2",15450000
"3",23200700
"4",4582576
"5",1520691
"6",836660
"7",770000
"8",7e+05
"9",632456
"10",605614
"11",516236
"12",481664
"13",440000
"14",4e+05
"15",320000
"16",193649
"17",185000
"18",173205
"19",165000
"20",150000
"21",142000
"22",1e+05
"23",90000
"24",80000
"25",73800
"26",40000
"27",33500
"28",34641016
"29",21633308
"30",12649111
"31",7e+06
"32",5e+06
"33",2754995
"34",1732051
"35",873000
"36",447214
"37",130000
"38",94868
"39",90000
"40",41833
"41",44721360
"42",36696798
"43",2.5e+07
"44",24300000
"45",22360680
"46",13396335
"47",9797959
"48",9671401
"49",8400000
"50",6708204
"51",5873670
"52",5500000
"53",4949747
"54",5600000
"55",3674235
"56",2828427
"57",2828427
"58",1743560
"59",1732051
"60",1732051
"61",1574802
"62",1460000
"63",1414214
"64",1200000
"65",1102361
"66",1095445
"67",1e+06
"68",1e+06
"69",943398
"70",876000
"71",866025
"72",806226
"73",724569
"74",707390
"75",707107
"76",648074
"77",6e+05
"78",6e+05
"79",585423
"80",564041
"81",540000
"82",511527
"83",504158
"84",5e+05
"85",470000
"86",447214
"87",445132
"88",4e+05
"89",4e+05
"90",387333
"91",387298
"92",382047
"93",362000
"94",350000
"95",346410
"96",3e+05
"97",3e+05
"98",286827
"99",279285
"100",278350
"101",244949
"102",241000
"103",234000
"104",228000
"105",223607
"106",223607
"107",220000
"108",220000
"109",210784
"110",2e+05
"111",2e+05
"112",2e+05
"113",193697
"114",180278
"115",173071
"116",158000
"117",141421
"118",141333
"119",140000
"120",135000
"121",134164
"122",122474
"123",120000
"124",120000
"125",120000
"126",116074
"127",106800
"128",101877
"129",100903
"130",1e+05
"131",1e+05
"132",1e+05
"133",1e+05
"134",1e+05
"135",93808
"136",93808
"137",92452
"138",90969
"139",90000
"140",89443
"141",88285
"142",84116
"143",81056
"144",75000
"145",74965
"146",70000
"147",70000
"148",65000
"149",60165
"150",60000
"151",56574
"152",53949
"153",51567
"154",49287
"155",48311
"156",45000
"157",40733
"158",40000
"159",38000
"160",35917
"161",34000
"162",32404
"163",32091
"164",27080
"165",25000
"166",25000
"167",22000
"168",21105
"169",21000
"170",20000
"171",20000
"172",20000
"173",20000
"174",19619
"175",19043
"176",19000
"177",18945
"178",17629
"179",17294
"180",17200
"181",16914
"182",16000
"183",16000
"184",16000
"185",15250
"186",15000
"187",14689
"188",13929
"189",13812
"190",12153
"191",10000
"192",10000
"193",10000
"194",10000
"195",10000
"196",10000
"197",10000
